Males	Females	Sequences	P	Signif
18	5	1	0.00229448	False
18	6	8	0.00579001	False
18	7	21	0.0132345	False
18	8	21	0.0276729	False
18	9	45	0.0533748	False
18	10	40	0.0956395	False
18	11	57	0.160177	False
18	12	51	0.25207	False
18	13	89	0.374465	False
18	14	117	0.527322	False
18	15	184	0.70659	False
18	16	135	0.904179	False
18	17	221	1	False
18	18	146	1	False
18	19	174	0.877313	False
18	20	154	0.676688	False
18	21	148	0.494176	False
18	22	132	0.339339	False
18	23	103	0.217401	False
18	24	90	0.128784	False
18	25	55	0.0697997	False
18	26	21	0.0341785	False
18	27	14	0.0148905	False
18	28	6	0.00566408	False
18	29	2	0.00183734	False
18	30	0	0.000493329	False
19	0	1	1.1535e-06	False
19	1	0	6.18016e-06	False
19	2	3	2.76673e-05	False
19	3	2	0.000105918	False
19	4	1	0.000353404	False
19	5	4	0.00104404	False
19	6	6	0.00276705	False
19	7	15	0.00665219	False
19	8	19	0.014642	False
19	9	23	0.0297406	False
19	10	22	0.0561221	False
19	11	53	0.0989584	False
19	12	76	0.163856	False
19	13	70	0.255881	False
19	14	89	0.378303	False
19	15	184	0.531318	False
19	16	116	0.711155	False
19	17	160	0.9099	False
19	18	165	1	False
19	19	189	1	False
19	20	261	0.869146	False
19	21	182	0.665712	False
19	22	221	0.48091	False
19	23	160	0.324956	False
19	24	142	0.203436	False
19	25	109	0.116681	False
19	26	47	0.0604923	False
19	27	24	0.0278867	False
19	28	25	0.0112005	False
19	29	9	0.00381982	False
19	30	1	0.00107023	False
20	0	2	4.15939e-07	False
20	1	2	2.28476e-06	False
20	2	1	1.05662e-05	False
20	3	1	4.20222e-05	False
20	4	7	0.000146268	False
20	5	1	0.00045217	False
20	6	3	0.00125686	False
20	7	13	0.0031741	False
20	8	29	0.00734718	False
20	9	21	0.0157051	False
20	10	56	0.0312	False
20	11	51	0.0579204	False
20	12	65	0.100951	False
20	13	102	0.165864	False
20	14	67	0.2578	False
20	15	112	0.380236	False
20	16	153	0.533677	False
20	17	158	0.714643	False
20	18	218	0.915352	False
20	19	245	1	False
20	20	264	1	False
20	21	246	0.860129	False
20	22	226	0.652902	False
20	23	169	0.465122	False
20	24	200	0.307843	False
20	25	175	0.187054	False
20	26	96	0.102862	False
20	27	50	0.0502975	False
20	28	24	0.0213923	False
20	29	8	0.00769393	False
20	30	0	0.00225562	False
21	0	4	1.43241e-07	True
21	1	5	8.06124e-07	False
21	2	0	3.84659e-06	False
21	3	5	1.58694e-05	False
21	4	0	5.75346e-05	False
21	5	0	0.000185837	False
